group,date,monthly_return
Hi_10,201504,2.28
Hi_10,201505,1.77
Hi_10,201506,1.81
Hi_10,201507,-0.63
Hi_10,201508,-6.86
Hi_10,201509,-6.48
Hi_10,201510,7.93
Hi_10,201511,2
Hi_10,201512,-4.97
Hi_10,201601,-12.25
Hi_10,201602,-7.29
Hi_10,201603,9.85
Hi_10,201604,7.98
Hi_10,201605,0.92
Hi_10,201606,-6.31
Hi_10,201607,6.33
Hi_10,201608,6.5
Hi_10,201609,0.38
Hi_10,201610,-0.74
Hi_10,201611,19.58
Hi_10,201612,3.77
Hi_10,201701,-0.37
Hi_10,201702,5.14
Hi_10,201703,-2.35
Hi_10,201704,-0.91
Hi_10,201705,-2.78
Hi_10,201706,5.85
Hi_10,201707,1.81
Hi_10,201708,-2.67
Hi_10,201709,5.98
Hi_10,201710,4.25
Hi_10,201711,2.1
Hi_10,201712,2.05
Hi_10,201801,4.75
Hi_10,201802,-3.77
Hi_10,201803,-4.29
Hi_10,201804,1.48
Hi_10,201805,-1.48
Hi_10,201806,-1.41
Hi_10,201807,3.32
Hi_10,201808,1.64
Hi_10,201809,-0.38
Hi_10,201810,-10.13
Hi_10,201811,0.64
Hi_10,201812,-13.5
Hi_10,201901,11.76
Hi_10,201902,1.7
Hi_10,201903,-3.42
Hi_10,201904,6.07
Hi_10,201905,-7.39
Hi_10,201906,7.14
Hi_10,201907,0.77
Hi_10,201908,-9.92
Hi_10,201909,6.15
Hi_10,201910,0.62
Hi_10,201911,3.56
Hi_10,201912,5.17
Hi_10,202001,-6.64
Hi_10,202002,-13.78
Hi_10,202003,-35.3
Hi_10,202004,18.97
Hi_10,202005,4.04
Hi_10,202006,3.17
Hi_10,202007,5.49
Hi_10,202008,2.93
